FILE:2016-12-07 08:42:45,D:\AWORK\向家坝\向家坝10月份数据\2016年10月月报及数据\2标段内观\出水口边坡\出水口边坡-锚索测力计.xlsx
FILE:2016-12-07 08:42:45,D:\AWORK\向家坝\向家坝10月份数据\2016年10月月报及数据\2标段内观\右岸马延坡边坡\马延坡-锚索测力计.xlsx
DATA:DP-2G14,200,所有数据误差超限
DATA:DP-2G14,201,所有数据误差超限
DATA:DPⅠB-3,12,所有数据误差超限
DATA:DPⅠB-3,13,所有数据误差超限
DATA:DPⅠB-3,14,所有数据误差超限
DATA:DPⅠB-3,15,所有数据误差超限
DATA:DPⅠB-3,16,所有数据误差超限
DATA:DPⅠB-3,17,所有数据误差超限
DATA:DPⅠB-3,18,所有数据误差超限
DATA:DPⅠB-3,19,所有数据误差超限
DATA:DPⅠB-3,20,所有数据误差超限
DATA:DPⅠB-3,21,所有数据误差超限
DATA:DPⅠB-3,22,所有数据误差超限
DATA:DPⅠB-3,23,所有数据误差超限
DATA:DPⅠB-3,24,所有数据误差超限
DATA:DPⅠB-3,25,所有数据误差超限
DATA:DPⅠB-3,26,所有数据误差超限
DATA:DPⅠB-3,27,所有数据误差超限
DATA:DPⅠB-3,28,所有数据误差超限
DATA:DPⅠB-3,29,所有数据误差超限
DATA:DPⅠB-3,30,所有数据误差超限
DATA:DPⅠB-3,31,所有数据误差超限
DATA:DPⅠB-3,32,所有数据误差超限
DATA:DPⅠB-3,33,所有数据误差超限
DATA:DPⅠB-3,34,所有数据误差超限
DATA:DPⅠB-3,35,所有数据误差超限
DATA:DPⅠB-3,36,所有数据误差超限
DATA:DPⅠB-3,37,所有数据误差超限
DATA:DPⅠB-3,38,所有数据误差超限
DATA:DPⅠB-3,39,所有数据误差超限
DATA:DPⅠB-3,40,所有数据误差超限
DATA:DPⅠB-3,41,所有数据误差超限
